Country,X1.1,X1.2,X1.3,X1.4,X1.5,X1.6,X2.1,X2.2,X2.3,X2.4,X2.5,X2.6,X2.7,X3.1,X3.2,X3.3,X3.4,X3.5,X4.1,X4.2,X4.3,X4.4,X4.5,X4.6,X4.7
Spain,88,98.6,73.2,72.2,100,92.3,77.9,29.9,78.4,37.4,79.5,82.6,0,79.1,50,86.4,100,93.5,82.6,20,75.2,12.2,73.4,55.4,93.9
Sri Lanka,38.5,88.2,56.8,31.6,75,81,60.4,30.6,65.1,0,59.7,77.5,50,35.8,50,61.2,40.4,75.9,47.7,40,54.8,20,86,26.2,84.7
Sudan,0,52.7,36.9,24.3,25,64.5,31.4,33.5,26.3,0,14.2,72.7,50,49.3,50,47.4,54.2,63.2,71.2,0,71.9,10.7,42.9,40.6,28.3
Sweden,89.5,99,82.8,72.2,100,94.7,73.2,41.2,78.9,0,95.6,87.6,50,76.1,100,93.2,100,93.6,71.6,55,91,34.8,99,55.4,77.1
Switzerland,99.5,100,84.1,24.1,100,94.1,81.4,77.1,78.1,53.7,95.9,93.1,50,83.6,73.5,84.2,93.3,93.6,76.1,60,83.6,11,73.1,69.2,75.3
Syria,0,89,37.5,40.1,0,55.8,44.2,17.8,11.8,0,16.9,93.1,0,22.4,0,69.3,75.9,76.6,74.9,10,86.8,32.3,89.7,0,7.9
Tajikistan,41.5,80.9,47.5,73.7,25,72.9,5.8,59.1,35.4,97.3,37.9,76.3,100,32.8,73.5,70.6,37.4,72,69.5,0,32.2,40.2,57.7,61.5,39
Tanzania,79.5,17.5,38.2,43.6,25,30.4,52.3,32.2,35,82.3,49,58.4,100,35.8,50,74.5,37.9,50.9,72,0,57.1,23.2,86.5,34.9,15.4
Thailand,94,99.7,59.6,26.8,100,82.4,55.8,65.5,58.5,67.7,53.6,82.6,0,47.8,50,54.1,56.6,93.5,58.2,5,70.6,5.5,96,52.3,87.7
Togo,82.5,20.3,30.7,60.7,25,29.2,24.4,44.5,9.7,92.2,46.2,43.8,100,17.9,23.5,47.4,31.1,52.2,53.7,0,80.6,53.2,65.8,80.8,28.7
Tunisia,76.5,96.8,58.3,22.6,100,58.9,72.2,40,49.4,51,55.1,70.8,0,46.3,50,90.9,72.8,91.9,72,10,80.2,41,58.3,17.7,69.6
Turkey,31,97.6,64.5,0,100,87,72.2,48.5,58.7,78.9,41.6,59.5,50,56.7,47.1,95.6,75.2,93.1,69.5,10,85.4,4,85.8,63.1,79.3
Uganda,91,25.2,34.6,36.8,25,24.4,3.5,29.2,32.4,81.3,45.9,84.7,0,52.2,26.5,72.5,39.8,41.9,73.6,0,65.9,40.8,82.1,65.6,20.9
Ukraine,86.5,99.8,67.5,77.4,50,60,62.8,36.8,42.2,72.8,26.3,83.2,0,47.8,47.1,87,81.6,84.3,52.8,0,67.4,19.7,92.6,47.2,94.2
United Arab Emirates,81.5,100,50.2,87.5,75,64.7,70.9,29.7,80,56.8,81.7,78.4,100,56.7,100,97.3,93.6,99.1,58.9,15,92.2,47.5,5.4,23.1,70.5
United Kingdom,96.5,99.5,76.9,72.2,100,92.6,84.9,46.8,60.1,62.2,87.5,92.3,50,71.6,76.5,94.4,100,100,57.5,60,71.2,21.8,95.1,95.4,81.9
United States,82.5,98.7,71.1,87.2,100,96.2,97.7,48.6,67.1,68,82.3,79.2,0,83.6,100,91,100,99.7,77.7,20,55.6,14.8,98.6,79.2,77.8
Uruguay,31,99.5,61.4,75.4,100,97.1,77.9,21.2,39.9,18.4,87.3,50.6,50,61.2,76.5,91.1,82,93.3,73.8,50,68.4,11.8,96.8,89.2,84.2
Uzbekistan,14,7.4,50.2,71.7,100,70.4,45.4,18.6,42.5,66.7,48.2,79.1,50,41.8,50,89,62.5,73.3,66,0,64.5,40.2,47.1,86.2,63.5
Venezuela,0,84.6,48.1,67.7,25,4.2,4.7,35.2,9.7,52.4,23.1,74.6,0,55.2,0,78.9,73.7,91.6,74,10,74.8,0,75.5,14.6,36.7
Vietnam,50,92.9,52.6,58.9,100,44.9,46.6,43,54.9,96.3,63.6,68.2,50,37.3,76.5,58.4,67.6,91,44.4,0,66.5,50,82.2,29.2,75.1
Yemen,73,45,32.7,73.9,0,23.5,10.5,37.7,1.4,48.3,6,93.1,0,22.4,26.5,41.8,37.9,56.8,61.3,5,86.2,50,41.3,17.7,31.3
Zambia,19,19,29.2,52.6,25,51.6,3.5,81.9,34.9,32.3,56.7,76.2,50,14.9,50,57,31.4,60.2,71,0,64.1,47,61.2,43.8,13.8
